Mouse,Company,Model Number,Sensor,Type,Lift Off Distance,DPI,Max DPI,Grip Type,# of Buttons,Width,Depth,Height,Weight,Weight Changeable,Cord Type,Ambidextrous,Left-Handed Available,Click Switches,Scroll Wheel Type,Notch Count,Scroll Wheel Tilt
Logitech G600,Logitech,M-U0035,S9808,laser,,,8200,palm,20,75,118,41,,,braided,no,no,,,,yes
Logitech G502,Logitech,,PMW3366DM-VWOU,optical,,,12000,palm,11,75,132,40,121,yes,braided,no,no,Omron D2FC-F-7N ,notch+free,,yes
Logitech G400,Logitech,,S3095,optical,,400/800/1800/3600,3600,palm/claw,,,,,105,no,rubber,,,,,,
Logitech G400s,Logitech,,S3095,optical,,,,,,70,125,41,109,no,,,,Omron D2FC-F-7N ,notch,,
Logitech G500s,Logitech,,S9808,laser,,,,,,70,128,40,121,yes,,,,Omron D2FC-F-7N ,notch,,
Logitech G700s,Logitech,,S9808,laser,,,,,,80,,45,152,yes,,,,Omron D2FC-F-7N ,notch,,
Microsoft WMO 1.1,Microsoft,,MLT04,optical,,,,,,,,,,,,,,,,,
Microsoft IMO 1.1,Microsoft,,MLT04,optical,,,,,,,,,,,,,,,,,
Microsoft IME 3.0,Microsoft,,MLT04,optical,,,,,,,,,,,,,,,,,
Microsoft Optical Mouse Blue,Microsoft,,MLT04,optical,,,,,,,,,,,,,,,,,
Zowie FK,Zowie,,A3090,optical,1.8,,,,,84,127,27,85,,,,,Huano,,,
Zowie AM,Zowie,,A3090,optical,,450/1150/2300,2300,claw/finger,,60,125,39,88,,,,,,,,
Zowie FK1,Zowie,,PMW3310H,optical,1.8,400/800/1600/3200,3200,palm/claw,5,67,128,37,90,,rubber,yes,,Blue Huano,notch,24,
Zowie EC1 CL,Zowie,,A3060,optical,,,,,,,,,,,,,,,,,
Zowie EC1 eVo,Zowie,,A3090,optical,,450/1150/2300,2300,,,,,,,,,,,Huano,notch,,
Zowie EC2 CL,Zowie,,,,,,,,,,,,,,,,,,,,
Zowie EC2 eVo,Zowie,,,,,,,,,,,,,,,,,,,,
Razer Deathadder 3G,Razer,,S3668,optical,,,,,,,,,,,,,,,,,
Razer Deathadder 3.5G,Razer,,S3888,optical,3.6,,,,,,,,,,,,,,,,
Razer Deathadder 2013/4G,Razer,,S3988,optical,,,6400,palm/claw,5,68,115,43,104,no,braided,,,,,,
Razer Abyssus,Razer,,S3888,optical,,450/1800/3500,3500,claw,3,63,115,40,71,no,rubber,yes,,,,24,
Steelseries Kana V2,Steelseries,,A3090,optical,4,400/800/1200/1600/2000/2400/3200/4000,4000,claw,,64,124,37,88,,,,,Omron D2FC-F-7N,notch,,
Steelseries Rival,Steelseries,,PMW3310H,optical,,,5000,palm/claw,,70,130,48,110,,,no,,,notch,,no
Mionix Avior,Mionix,,PMW3310H,optical,,,,claw,,,,,,,,yes,,,,,
Cooler Master Storm Spawn,Cooler Master,,A3090,optical,,,1800,claw/finger,,,,,86,,rubber,,,,,,
Cooler Master Storm Mizar,Cooler Master,,A9800,laser,,800/1600/3200/8200,8200,,7,,,,87,,braided,,,Omron,notch,,
Cooler Master Storm Alcor,Cooler Master,,A3090,optical,,800/1600/3200/4000,4000,claw/finger,,,,,87,,rubber,,,Omron,notch,,
Roccat Savu,Roccat,,A3090,optical,,400/800/1600/4000,4000,,,,,,90,,braided,,,Omron,notch,,
Roccat Kone Pure Optical,Roccat,,A3090,optical,,400/800/1200/2000/4000,4000,,,,,,96,,braided,no,no,Omron,notch,,
Roccat Kone Pure Military,Roccat,,PMW3310H,optical,,,5000,palm/claw,,,,,90,,braided,,,Omron,,,
Mad Catz R.A.T. 3,Mad Catz,,A3090,optical,,,3500,,5,,,,,,braided,,,,,,
Corsair M45,Corsair,,PMW3310H,optical,,2400/5000,5000,,,72,120,39,97,,,,,,notch,,
